index,pokedex_number,name,german_name,generation,status,species,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
271,220,Swinub,Quiekel,2,Normal,Pig Pokémon,Ice,Ground,0.4,6.5,3,Oblivious,Snow Cloak,Thick Fat,250,50,50,40,30,30,50,225,70,50,Slow,Field,,50,20,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1
272,221,Piloswine,Keifel,2,Normal,Swine Pokémon,Ice,Ground,1.1,55.8,3,Oblivious,Snow Cloak,Thick Fat,450,100,100,80,60,60,50,75,70,158,Slow,Field,,50,20,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1
273,222,Corsola,Corasonn,2,Normal,Coral Pokémon,Water,Rock,0.6,5,3,Hustle,Natural Cure,Regenerator,410,65,55,95,65,95,35,60,70,144,Fast,Water 1,Water 3,25,20,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
274,222,Galarian Corsola,Corasonn,2,Normal,Coral Pokémon,Ghost,,0.6,0.5,2,Weak Armor,,Cursed Body,410,60,55,100,65,100,30,,,,Fast,Water 1,Water 3,,20,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1
275,223,Remoraid,Remoraid,2,Normal,Jet Pokémon,Water,,0.6,12,3,Hustle,Sniper,Moody,300,35,65,35,65,35,65,190,70,60,Medium Fast,Water 1,Water 2,50,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
276,224,Octillery,Octillery,2,Normal,Jet Pokémon,Water,,0.9,28.5,3,Suction Cups,Sniper,Moody,480,75,105,75,105,75,45,75,70,168,Medium Fast,Water 1,Water 2,50,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
277,225,Delibird,Botogel,2,Normal,Delivery Pokémon,Ice,Flying,0.9,16,3,Vital Spirit,Hustle,Insomnia,330,45,55,45,65,45,75,45,70,116,Fast,Field,Water 1,50,20,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1
278,226,Mantine,Mantax,2,Normal,Kite Pokémon,Water,Flying,2.1,220,3,Swift Swim,Water Absorb,Water Veil,485,85,40,70,80,140,70,25,70,170,Slow,Water 1,,50,25,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
279,227,Skarmory,Panzaeron,2,Normal,Armor Bird Pokémon,Steel,Flying,1.7,50.5,3,Keen Eye,Sturdy,Weak Armor,465,65,80,140,40,70,70,25,70,163,Slow,Flying,,50,25,0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5
280,228,Houndour,Hunduster,2,Normal,Dark Pokémon,Dark,Fire,0.6,10.8,3,Early Bird,Flash Fire,Unnerve,330,45,60,30,80,50,65,120,35,66,Slow,Field,,50,20,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
281,229,Houndoom,Hundemon,2,Normal,Dark Pokémon,Dark,Fire,1.4,35,3,Early Bird,Flash Fire,Unnerve,500,75,90,50,110,80,95,45,35,175,Slow,Field,,50,20,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
282,229,Mega Houndoom,Hundemon,2,Normal,Dark Pokémon,Dark,Fire,1.9,49.5,1,Solar Power,,,600,75,90,90,140,90,115,45,35,210,Slow,Field,,50,20,1,0,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
283,230,Kingdra,Seedraking,2,Normal,Dragon Pokémon,Water,Dragon,1.8,152,3,Swift Swim,Sniper,Damp,540,75,95,95,95,95,85,45,70,243,Medium Fast,Dragon,Water 1,50,20,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2
284,231,Phanpy,Phanpy,2,Normal,Long Nose Pokémon,Ground,,0.5,33.5,2,Pickup,,Sand Veil,330,90,60,60,40,40,40,120,70,66,Medium Fast,Field,,50,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
285,232,Donphan,Donphan,2,Normal,Armor Pokémon,Ground,,1.1,120,2,Sturdy,,Sand Veil,500,90,120,120,60,60,50,60,70,175,Medium Fast,Field,,50,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
286,233,Porygon2,Porygon2,2,Normal,Virtual Pokémon,Normal,,0.6,32.5,3,Trace,Download,Analytic,515,85,80,90,105,95,60,45,70,180,Medium Fast,Mineral,,,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
287,234,Stantler,Damhirplex,2,Normal,Big Horn Pokémon,Normal,,1.4,71.2,3,Intimidate,Frisk,Sap Sipper,465,73,95,62,85,65,85,45,70,163,Slow,Field,,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
288,235,Smeargle,Farbeagle,2,Normal,Painter Pokémon,Normal,,1.2,58,3,Own Tempo,Technician,Moody,250,55,20,35,20,45,75,45,70,88,Fast,Field,,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
289,236,Tyrogue,Rabauz,2,Normal,Scuffle Pokémon,Fighting,,0.7,21,3,Guts,Steadfast,Vital Spirit,210,35,35,35,35,35,35,75,70,42,Medium Fast,Undiscovered,,100,25,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
290,237,Hitmontop,Kapoera,2,Normal,Handstand Pokémon,Fighting,,1.4,48,3,Intimidate,Technician,Steadfast,455,50,95,95,35,110,70,45,70,159,Medium Fast,Human-Like,,100,25,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
291,238,Smoochum,Kussilla,2,Normal,Kiss Pokémon,Ice,Psychic,0.4,6,3,Oblivious,Forewarn,Hydration,305,45,30,15,85,65,65,45,70,61,Medium Fast,Undiscovered,,0,25,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1
292,239,Elekid,Elekid,2,Normal,Electric Pokémon,Electric,,0.6,23.5,2,Static,,Vital Spirit,360,45,63,37,65,55,95,45,70,72,Medium Fast,Undiscovered,,75,25,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
293,240,Magby,Magby,2,Normal,Live Coal Pokémon,Fire,,0.7,21.4,2,Flame Body,,Vital Spirit,365,45,75,37,70,55,83,45,70,73,Medium Fast,Undiscovered,,75,25,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
294,241,Miltank,Miltank,2,Normal,Milk Cow Pokémon,Normal,,1.2,75.5,3,Thick Fat,Scrappy,Sap Sipper,490,95,80,105,40,70,100,45,70,172,Slow,Field,,0,20,1,0.5,1,1,1,0.5,2,1,1,1,1,1,1,0,1,1,1,1
295,242,Blissey,Heiteira,2,Normal,Happiness Pokémon,Normal,,1.5,46.8,3,Natural Cure,Serene Grace,Healer,540,255,10,10,75,135,55,30,140,608,Fast,Fairy,,0,40,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
296,243,Raikou,Raikou,2,Sub Legendary,Thunder Pokémon,Electric,,1.9,178,2,Pressure,,Inner Focus,580,90,85,75,115,100,115,3,35,261,Slow,Undiscovered,,,80,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
297,244,Entei,Entei,2,Sub Legendary,Volcano Pokémon,Fire,,2.1,198,2,Pressure,,Inner Focus,580,115,115,85,90,75,100,3,35,261,Slow,Undiscovered,,,80,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
298,245,Suicune,Suicune,2,Sub Legendary,Aurora Pokémon,Water,,2,187,2,Pressure,,Inner Focus,580,100,75,115,90,115,85,3,35,261,Slow,Undiscovered,,,80,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
299,246,Larvitar,Larvitar,2,Normal,Rock Skin Pokémon,Rock,Ground,0.6,72,2,Guts,,Sand Veil,300,50,64,50,45,50,41,45,35,60,Slow,Monster,,50,40,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
300,247,Pupitar,Pupitar,2,Normal,Hard Shell Pokémon,Rock,Ground,1.2,152,1,Shed Skin,,,410,70,84,70,65,70,51,45,35,144,Slow,Monster,,50,40,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
301,248,Tyranitar,Despotar,2,Normal,Armor Pokémon,Rock,Dark,2,202,2,Sand Stream,,Unnerve,600,100,134,110,95,100,61,45,35,270,Slow,Monster,,50,40,0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2
302,248,Mega Tyranitar,Despotar,2,Normal,Armor Pokémon,Rock,Dark,2.5,255,1,Sand Stream,,,700,100,164,150,95,120,71,45,35,315,Slow,Monster,,50,40,0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2
303,249,Lugia,Lugia,2,Legendary,Diving Pokémon,Psychic,Flying,5.2,216,2,Pressure,,Multiscale,680,106,90,130,90,154,110,3,0,306,Slow,Undiscovered,,,120,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
304,250,Ho-oh,Ho-Oh,2,Legendary,Rainbow Pokémon,Fire,Flying,3.8,199,2,Pressure,,Regenerator,680,106,130,90,110,154,90,3,0,306,Slow,Undiscovered,,,120,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
305,251,Celebi,Celebi,2,Mythical,Time Travel Pokémon,Psychic,Grass,0.6,5,1,Natural Cure,,,600,100,100,100,100,100,100,45,100,270,Medium Slow,Undiscovered,,,120,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1
306,252,Treecko,Geckarbor,3,Normal,Wood Gecko Pokémon,Grass,,0.5,5,2,Overgrow,,Unburden,310,40,45,35,65,55,70,45,70,62,Medium Slow,Dragon,Monster,87.5,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
307,253,Grovyle,Reptain,3,Normal,Wood Gecko Pokémon,Grass,,0.9,21.6,2,Overgrow,,Unburden,405,50,65,45,85,65,95,45,70,142,Medium Slow,Dragon,Monster,87.5,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
308,254,Sceptile,Gewaldro,3,Normal,Forest Pokémon,Grass,,1.7,52.2,2,Overgrow,,Unburden,530,70,85,65,105,85,120,45,70,239,Medium Slow,Dragon,Monster,87.5,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
309,254,Mega Sceptile,Gewaldro,3,Normal,Forest Pokémon,Grass,Dragon,1.9,55.2,1,Lightning Rod,,,630,70,110,75,145,85,145,45,70,284,Medium Slow,Dragon,Monster,87.5,20,1,1,0.25,0,0.25,4,1,2,0.5,2,1,2,1,1,2,1,1,2
310,255,Torchic,Flemmli,3,Normal,Chick Pokémon,Fire,,0.4,2.5,2,Blaze,,Speed Boost,310,45,60,40,70,50,45,45,70,62,Medium Slow,Field,,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
311,256,Combusken,Jungglut,3,Normal,Young Fowl Pokémon,Fire,Fighting,0.9,19.5,2,Blaze,,Speed Boost,405,60,85,60,85,60,55,45,70,142,Medium Slow,Field,,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
312,257,Blaziken,Lohgock,3,Normal,Blaze Pokémon,Fire,Fighting,1.9,52,2,Blaze,,Speed Boost,530,80,120,70,110,70,80,45,70,239,Medium Slow,Field,,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
313,257,Mega Blaziken,Lohgock,3,Normal,Blaze Pokémon,Fire,Fighting,1.9,52,1,Speed Boost,,,630,80,160,80,130,80,100,45,70,284,Medium Slow,Field,,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
314,258,Mudkip,Hydropi,3,Normal,Mud Fish Pokémon,Water,,0.4,7.6,2,Torrent,,Damp,310,50,70,50,50,50,40,45,70,62,Medium Slow,Monster,Water 1,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
315,259,Marshtomp,Moorabbel,3,Normal,Mud Fish Pokémon,Water,Ground,0.7,28,2,Torrent,,Damp,405,70,85,70,60,70,50,45,70,142,Medium Slow,Monster,Water 1,87.5,20,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
316,260,Swampert,Sumpex,3,Normal,Mud Fish Pokémon,Water,Ground,1.5,81.9,2,Torrent,,Damp,535,100,110,90,85,90,60,45,70,241,Medium Slow,Monster,Water 1,87.5,20,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
317,260,Mega Swampert,Sumpex,3,Normal,Mud Fish Pokémon,Water,Ground,1.9,102,1,Swift Swim,,,635,100,150,110,95,110,70,45,70,286,Medium Slow,Monster,Water 1,87.5,20,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
318,261,Poochyena,Fiffyen,3,Normal,Bite Pokémon,Dark,,0.5,13.6,3,Run Away,Quick Feet,Rattled,220,35,55,35,30,30,35,255,70,56,Medium Fast,Field,,50,15,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
319,262,Mightyena,Magnayen,3,Normal,Bite Pokémon,Dark,,1,37,3,Intimidate,Quick Feet,Moxie,420,70,90,70,60,60,70,127,70,147,Medium Fast,Field,,50,15,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
320,263,Zigzagoon,Zigzachs,3,Normal,TinyRaccoon Pokémon,Normal,,0.4,17.5,3,Pickup,Gluttony,Quick Feet,240,38,30,41,30,41,60,255,70,56,Medium Fast,Field,,50,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
321,263,Galarian Zigzagoon,Zigzachs,3,Normal,Tiny Raccoon Pokémon,Dark,Normal,0.4,17.5,3,Pickup,Gluttony,Quick Feet,240,38,30,41,30,41,60,,,,Medium Fast,Field,,,15,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
322,264,Linoone,Geradaks,3,Normal,Rushing Pokémon,Normal,,0.5,32.5,3,Pickup,Gluttony,Quick Feet,420,78,70,61,50,61,100,90,70,147,Medium Fast,Field,,50,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
323,264,Galarian Linoone,Geradaks,3,Normal,Rushing Pokémon,Dark,Normal,0.5,32.5,3,Pickup,Gluttony,Quick Feet,420,78,70,61,50,61,100,,,,Medium Fast,Field,,,15,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
324,265,Wurmple,Waumpel,3,Normal,Worm Pokémon,Bug,,0.3,3.6,2,Shield Dust,,Run Away,195,45,45,35,20,30,20,255,70,56,Medium Fast,Bug,,50,15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
325,266,Silcoon,Schaloko,3,Normal,Cocoon Pokémon,Bug,,0.6,10,1,Shed Skin,,,205,50,35,55,25,25,15,120,70,72,Medium Fast,Bug,,50,15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
326,267,Beautifly,Papinella,3,Normal,Butterfly Pokémon,Bug,Flying,1,28.4,2,Swarm,,Rivalry,395,60,70,50,100,50,65,45,70,178,Medium Fast,Bug,,50,15,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
327,268,Cascoon,Panekon,3,Normal,Cocoon Pokémon,Bug,,0.7,11.5,1,Shed Skin,,,205,50,35,55,25,25,15,120,70,72,Medium Fast,Bug,,50,15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
328,269,Dustox,Pudox,3,Normal,Poison Moth Pokémon,Bug,Poison,1.2,31.6,2,Shield Dust,,Compound Eyes,385,60,50,70,50,90,65,45,70,173,Medium Fast,Bug,,50,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
329,270,Lotad,Loturzel,3,Normal,Water Weed Pokémon,Water,Grass,0.5,2.6,3,Swift Swim,Rain Dish,Own Tempo,220,40,30,30,40,50,30,255,70,44,Medium Slow,Grass,Water 1,50,15,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
330,271,Lombre,Lombrero,3,Normal,Jolly Pokémon,Water,Grass,1.2,32.5,3,Swift Swim,Rain Dish,Own Tempo,340,60,50,50,60,70,50,120,70,119,Medium Slow,Grass,Water 1,50,15,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
331,272,Ludicolo,Kappalores,3,Normal,Carefree Pokémon,Water,Grass,1.5,55,3,Swift Swim,Rain Dish,Own Tempo,480,80,70,70,90,100,70,45,70,216,Medium Slow,Grass,Water 1,50,15,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
332,273,Seedot,Samurzel,3,Normal,Acorn Pokémon,Grass,,0.5,4,3,Chlorophyll,Early Bird,Pickpocket,220,40,40,50,30,30,30,255,70,44,Medium Slow,Field,Grass,50,15,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
333,274,Nuzleaf,Blanas,3,Normal,Wily Pokémon,Grass,Dark,1,28,3,Chlorophyll,Early Bird,Pickpocket,340,70,70,40,60,40,60,120,70,119,Medium Slow,Field,Grass,50,15,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2
334,275,Shiftry,Tengulist,3,Normal,Wicked Pokémon,Grass,Dark,1.3,59.6,3,Chlorophyll,Early Bird,Pickpocket,480,90,100,60,90,60,80,45,70,216,Medium Slow,Field,Grass,50,15,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2
335,276,Taillow,Schwalbini,3,Normal,TinySwallow Pokémon,Normal,Flying,0.3,2.3,2,Guts,,Scrappy,270,40,55,30,30,30,85,200,70,54,Medium Slow,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
336,277,Swellow,Schwalboss,3,Normal,Swallow Pokémon,Normal,Flying,0.7,19.8,2,Guts,,Scrappy,455,60,85,60,75,50,125,45,70,159,Medium Slow,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
337,278,Wingull,Wingull,3,Normal,Seagull Pokémon,Water,Flying,0.6,9.5,3,Keen Eye,Hydration,Rain Dish,270,40,30,30,55,30,85,190,70,54,Medium Fast,Flying,Water 1,50,20,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
338,279,Pelipper,Pelipper,3,Normal,Water Bird Pokémon,Water,Flying,1.2,28,3,Keen Eye,Drizzle,Rain Dish,440,60,50,100,95,70,65,45,70,154,Medium Fast,Flying,Water 1,50,20,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
339,280,Ralts,Trasla,3,Normal,Feeling Pokémon,Psychic,Fairy,0.4,6.6,3,Synchronize,Trace,Telepathy,198,28,25,25,45,35,40,235,35,40,Slow,Amorphous,Human-Like,50,20,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
340,281,Kirlia,Kirlia,3,Normal,Emotion Pokémon,Psychic,Fairy,0.8,20.2,3,Synchronize,Trace,Telepathy,278,38,35,35,65,55,50,120,35,97,Slow,Amorphous,Human-Like,50,20,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
341,282,Gardevoir,Guardevoir,3,Normal,Embrace Pokémon,Psychic,Fairy,1.6,48.4,3,Synchronize,Trace,Telepathy,518,68,65,65,125,115,80,45,35,233,Slow,Amorphous,Human-Like,50,20,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
342,282,Mega Gardevoir,Guardevoir,3,Normal,Embrace Pokémon,Psychic,Fairy,1.6,48.4,1,Pixilate,,,618,68,85,65,165,135,100,45,35,278,Slow,Amorphous,,50,20,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
343,283,Surskit,Gehweiher,3,Normal,Pond Skater Pokémon,Bug,Water,0.5,1.7,2,Swift Swim,,Rain Dish,269,40,30,32,50,52,65,200,70,54,Medium Fast,Bug,Water 1,50,15,1,1,0.5,2,1,0.5,0.5,1,0.5,2,1,1,2,1,1,1,0.5,1
344,284,Masquerain,Maskeregen,3,Normal,Eyeball Pokémon,Bug,Flying,0.8,3.6,2,Intimidate,,Unnerve,454,70,60,62,100,82,80,75,70,159,Medium Fast,Bug,Water 1,50,15,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
345,285,Shroomish,Knilz,3,Normal,Mushroom Pokémon,Grass,,0.4,4.5,3,Effect Spore,Poison Heal,Quick Feet,295,60,40,60,40,60,35,255,70,59,Fluctuating,Fairy,Grass,50,15,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
346,286,Breloom,Kapilz,3,Normal,Mushroom Pokémon,Grass,Fighting,1.2,39.2,3,Effect Spore,Poison Heal,Technician,460,60,130,80,60,60,70,90,70,161,Fluctuating,Fairy,Grass,50,15,1,2,0.5,0.5,0.5,2,1,2,0.5,4,2,1,0.5,1,1,0.5,1,2
347,287,Slakoth,Bummelz,3,Normal,Slacker Pokémon,Normal,,0.8,24,1,Truant,,,280,60,60,60,35,35,30,255,70,56,Slow,Field,,50,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
348,288,Vigoroth,Muntier,3,Normal,Wild Monkey Pokémon,Normal,,1.4,46.5,1,Vital Spirit,,,440,80,80,80,55,55,90,120,70,154,Slow,Field,,50,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
349,289,Slaking,Letarking,3,Normal,Lazy Pokémon,Normal,,2,130.5,1,Truant,,,670,150,160,100,95,65,100,45,70,252,Slow,Field,,50,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
350,290,Nincada,Nincada,3,Normal,Trainee Pokémon,Bug,Ground,0.5,5.5,2,Compound Eyes,,Run Away,266,31,45,90,30,30,40,255,70,53,Erratic,Bug,,50,15,1,2,2,0,1,2,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1
351,291,Ninjask,Ninjask,3,Normal,Ninja Pokémon,Bug,Flying,0.8,12,2,Speed Boost,,Infiltrator,456,61,90,45,50,50,160,120,70,160,Erratic,Bug,,50,15,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
352,292,Shedinja,Ninjatom,3,Normal,Shed Pokémon,Bug,Ghost,0.8,1.2,1,Wonder Guard,,,236,1,90,45,30,30,40,45,70,83,Erratic,Mineral,,,15,0,2,0,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0
353,293,Whismur,Flurmel,3,Normal,Whisper Pokémon,Normal,,0.6,16.3,2,Soundproof,,Rattled,240,64,51,23,51,23,28,190,70,48,Medium Slow,Field,Monster,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
354,294,Loudred,Krakeelo,3,Normal,Big Voice Pokémon,Normal,,1,40.5,2,Soundproof,,Scrappy,360,84,71,43,71,43,48,120,70,126,Medium Slow,Field,Monster,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
355,295,Exploud,Krawumms,3,Normal,Loud Noise Pokémon,Normal,,1.5,84,2,Soundproof,,Scrappy,490,104,91,63,91,73,68,45,70,221,Medium Slow,Field,Monster,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
356,296,Makuhita,Makuhita,3,Normal,Guts Pokémon,Fighting,,1,86.4,3,Thick Fat,Guts,Sheer Force,237,72,60,30,20,30,25,180,70,47,Fluctuating,Human-Like,,75,20,1,0.5,1,1,1,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
357,297,Hariyama,Hariyama,3,Normal,Arm Thrust Pokémon,Fighting,,2.3,253.8,3,Thick Fat,Guts,Sheer Force,474,144,120,60,40,60,50,200,70,166,Fluctuating,Human-Like,,75,20,1,0.5,1,1,1,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
358,298,Azurill,Azurill,3,Normal,Polka Dot Pokémon,Normal,Fairy,0.2,2,3,Thick Fat,Huge Power,Sap Sipper,190,50,20,40,20,40,20,150,70,38,Fast,Undiscovered,,25,10,1,0.5,1,1,1,0.5,1,2,1,1,1,0.5,1,0,0,0.5,2,1
359,299,Nosepass,Nasgnet,3,Normal,Compass Pokémon,Rock,,1,97,3,Sturdy,Magnet Pull,Sand Force,375,30,45,135,45,90,30,255,70,75,Medium Fast,Mineral,,50,20,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1
360,300,Skitty,Eneco,3,Normal,Kitten Pokémon,Normal,,0.6,11,3,Cute Charm,Normalize,Wonder Skin,260,50,45,45,35,35,50,255,70,52,Fast,Fairy,Field,25,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
361,301,Delcatty,Enekoro,3,Normal,Prim Pokémon,Normal,,1.1,32.6,3,Cute Charm,Normalize,Wonder Skin,400,70,65,65,55,55,90,60,70,140,Fast,Fairy,Field,25,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
362,302,Sableye,Zobiris,3,Normal,Darkness Pokémon,Dark,Ghost,0.5,11,3,Keen Eye,Stall,Prankster,380,50,75,75,65,65,50,45,35,133,Medium Slow,Human-Like,,50,25,0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2
363,302,Mega Sableye,Zobiris,3,Normal,Darkness Pokémon,Dark,Ghost,0.5,161,1,Magic Bounce,,,480,50,85,125,85,115,20,45,35,168,Medium Slow,Human-Like,,50,25,0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2
364,303,Mawile,Flunkifer,3,Normal,Deceiver Pokémon,Steel,Fairy,0.6,11.5,3,Hyper Cutter,Intimidate,Sheer Force,380,50,85,85,55,55,50,45,70,133,Fast,Fairy,Field,50,20,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.5,0.25,0.5,1,0,0.5,1,0.5
365,303,Mega Mawile,Flunkifer,3,Normal,Deceiver Pokémon,Steel,Fairy,1,23.5,1,Huge Power,,,480,50,105,125,55,95,50,45,70,168,Fast,Fairy,Field,50,20,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.5,0.25,0.5,1,0,0.5,1,0.5
366,304,Aron,Stollunior,3,Normal,Iron Armor Pokémon,Steel,Rock,0.4,60,3,Sturdy,Rock Head,Heavy Metal,330,50,70,100,40,40,30,180,35,66,Slow,Monster,,50,35,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5
